Sensor_0,Sensor_1,Sensor_2,Sensor_3
100940.5,104272.5,101579.75,113954
100938.25,104269.75,101586.75,113959.75
100953.75,104272.75,101572.75,113957.25
100945.5,104269.75,101578.75,113958.75
100934.25,104274.25,101580.75,113961.25
100948.75,104273.75,101582.25,113955
100944.25,104279,101580.75,113952.5
100949.5,104284.5,101585.5,113951.25
100948.5,104276.5,101585,113961
100949,104278,101587.75,113956.75
100945.75,104278.5,101579.75,113954
100952.75,104270.25,101581.5,113952.25
100950,104276.5,101585,113958.25
100949.75,104273.25,101580.75,113961.75
100951.5,104272.75,101593,113957.25
100959.75,104277,101576.25,113951.75
100953.5,104269.75,101587.5,113955
100954.5,104261.75,101587,113954.5
100955.5,104267.25,101579.5,113955.5
100957.5,104271.25,101582,113951.5
100962.5,104276,101577.25,113953
100961.25,104277.75,101584.25,113956.25
100967.5,104271.75,101597.25,113959.75
100960.25,104275.25,101581.5,113956.75
100969.75,104278.75,101579.25,113952
100968.75,104283.25,101585,113963.25
100970.25,104271.5,101579.5,113949
100968.5,104273.5,101582.5,113964.25
100978.25,104272.25,101585.75,113954.75
100959.75,104275.75,101582.5,113953.75
100965.75,104277.5,101580.5,113953
100968,104274,101579.75,113952.5
100969.75,104272.75,101587,113952.5
100968.5,104274.5,101577,113956.75
100973.5,104278,101586.25,113962.75
100971.75,104265.75,101576.5,113954
100968,104276,101586.5,113955.75
100978.5,104277.25,101591,113967.25
100962.25,104278.5,101578,113956
100967.25,104271,101577.5,113956.75
100967,104274.75,101568.5,113951.75
100972.5,104278,101573.5,113956
100968.5,104278,101578.75,113954.5
100976.5,104278.25,101584.5,113954.25
100974.75,104265.25,101580.75,113957.75
100977.5,104269,101579.25,113956.75
100971.25,104273.25,101573,113961.25
100977.5,104266.5,101585,113956.25
100980,104279.75,101588.25,113963.25
100982.5,104273.25,101574.25,113953.5
100990.5,104276.5,101578.5,113958
100983.5,104274.75,101586.25,113961.25
100976.75,104281,101581.25,113953.25
100987.5,104271.25,101584,113955
100990.25,104274.75,101585.25,113955.75
100987.5,104267.75,101575.25,113962
100981.25,104272,101583,113953
100986.5,104277.5,101584.5,113943.75
101069.25,104280.75,101580.5,113957.5
101212.25,104286.75,101576.75,113953.5
101384,104291.75,101578.5,113958.5
101555.75,104289.75,101569.25,113959
101805.75,104290,101563.25,113959.25
102048.75,104294.75,101563.5,113957
102321,104306.25,101556.25,113963
102531.25,104315.75,101559.75,113959.75
102782.25,104345.5,101561.5,113950.75
103152.25,104367.75,101556.5,113956.75
103508.5,104411.75,101554.25,113963
103902,104493,101556.75,113964.25
104284.75,104550.25,101572.25,113964
104640.5,104612.5,101568.25,113955.25
104985.25,104658.75,101574,113973
105340.75,104693.5,101559.5,113955.25
105662.75,104717.75,101569.5,113959.5
106007.75,104749.25,101558.5,113969
106386,104763,101556.25,113961
106755.25,104765.25,101546.25,113975.5
107212.25,104769.75,101541.25,113965
107723.5,104783.25,101533,113975.5
108319,104809.75,101532,113966.25
108858.25,104867.75,101534.75,113961.75
109402.5,104974.5,101541.25,113958.75
110069.75,105145,101561,113969
110599.5,105321.75,101580.5,113971.5
111012.25,105445,101583.75,113992.5
111457.5,105496.5,101562,113989.25
111909.25,105522.75,101558.5,113987.25
112411.25,105519.75,101538,113993
112952.75,105507,101534.75,113991.25
112846.5,105507.25,101525.25,113985.5
112637.5,105500.75,101531.5,113986.75
112515.5,105496,101541.25,113991.5
112410.25,105503,101533.25,113999
112325.25,105499,101539,113993.5
112243,105497.25,101531.5,113998
112154,105489.25,101540.5,113997
112093.5,105490.25,101543,113988.75
112032.5,105497.25,101547.75,113992.5
111986.5,105498.5,101540.75,113990.25
111932,105499.5,101543,113997
111872.5,105493,101545.75,113993
111829.25,105497.75,101547,113998.75
111781.75,105485.25,101543.5,113993
111742.25,105491.25,101537,114000.75
111720.25,105494.75,101537.75,113989.5
111673.25,105486.75,101538.5,113994.25
111649.75,105495,101545.5,113994.25
111623,105501.75,101547.5,113986.5
111597,105493.75,101545.75,113984.5
111557,105492.25,101535.5,113997.75
111524.75,105492.5,101545,113989.25
111486.25,105483,101537.5,113998.25
111468,105494.75,101547.75,113985.25
111429.5,105492.75,101535.5,113986
111419.25,105485.75,101537.75,113986
111396.25,105495.5,101535.5,113990.75
111374,105490,101538.75,113986.5
111350,105486.25,101541.25,113995.5
111329.75,105494.5,101540.75,113999.25
111310.25,105493.75,101538.75,113989.25
111295,105487.5,101541.5,113988
111282.75,105491.5,101542,113992.75
111257.5,105481.75,101535.25,113988
111246,105492.5,101551.5,113996.5
111227.75,105480.25,101535.5,113987.5
111203.5,105488.25,101537.75,113986.75
111189.25,105478.5,101540,113990.25
111174.25,105493.25,101544.5,113997
111153.25,105494.75,101544.25,113988
111143.75,105477,101546.75,113991
111125,105496.25,101544.75,114008.75
111114,105484,101536.75,113979.25
111091,105480,101534,113996.75
111058.75,105490,101536.75,113996.5
111053,105482.5,101536.75,114003.75
111033,105488,101533.25,113997
111031.25,105493.25,101537.25,113985.25
111020.75,105483.75,101550.75,113992
111002.5,105491.25,101546.75,113997
110995,105479.75,101539.75,113992.25
110973.75,105483.5,101539.25,113988.75
110967,105487.25,101544.25,113996.75
110952.75,105485,101545,113986.5
110942,105486.5,101539,113990.75
110930.75,105493.5,101538.25,113985.25
110914,105485.5,101548.75,113998.5
110909.75,105485.75,101536.25,113988.5
110891.5,105486.75,101542.75,113993.75
110884.75,105478.75,101537.5,113996
110874,105483.75,101544.75,114002.5
110858.75,105492,101539.25,113998.75
110851.75,105476.5,101535.25,113986
110854.25,105486,101544.5,113989
110843,105487.25,101536.25,113999
110832.5,105487.75,101539.25,114002.5
110826,105484,101537,113987.25
110809.75,105488.25,101553.25,113991.25
110799.25,105481.75,101538.5,113992
110793.75,105490.25,101539,113982.75
110792,105494.25,101526.25,113991.25
110784.25,105489,101543.5,113996.25
110769,105483.75,101548.75,113992
110754,105476,101539.25,113997.5
110754.75,105481.5,101540.75,113993.75
110738.25,105482,101541.75,113997.75
110743.5,105473.75,101538.25,113997
110722,105488.75,101542.25,113991.75
110718.75,105475.75,101542.25,113997
110717,105484.5,101534.75,113998.25
110713.75,105487,101540,113984
110696,105474.75,101542,113995.25
110698.25,105492.25,101540.5,113985.75
110680.5,105479,101537.25,114000
110676,105493.25,101537,113990
110662.75,105488.5,101535.25,114000
110661,105484,101541.25,113981.25
110659.5,105481,101536,113997.5
110641.25,105473.25,101535.75,113994.25
110632.5,105487.25,101547.5,113993
110633.5,105480,101543.5,113993.5
110624.25,105481.5,101538,113991.25
110616.75,105477.75,101545.25,114003
110604.5,105488.25,101544,113992.75
110607.5,105486.75,101548,113994.25
110590,105492,101547,114001.75
